"ds_nome","ds_codigo","venues","venues_color","railway","railway_color","bus","bus_color","parking","parking_color","topography","topography_color","final_score","final_score_color"
"CURSINO",27,6.20226834821824,"#C9C763",0.845652054898536,"#D55843",5.67907565033105,"#DFCC61",6.62387655811,"#B7C464",7.01240472628463,"#A6C065",5.86584705409424,"#D7CB61"
"ERMELINO MATARAZZO",28,4.56005138085647,"#F8C55C",2.7472321274589,"#E79050",6.24943083575998,"#C7C763",5.19703171759,"#F4D15F",7.58001673362625,"#8EBB67",5.62376655825078,"#E2CD61"
"FREGUESIA DO O",29,4.89723827874356,"#FCCF5E",0.0320952859108778,"#CE3F3E",6.28794488169348,"#C5C763",7.19647713552,"#9EBE66",6.2649416656188,"#C6C763",5.22256190402349,"#F3D05F"
"GRAJAU",30,6.97374759149525,"#A8C065",0.10060350935378,"#CE413E",4.81195531026987,"#FBCD5D",4.69755050515,"#FACA5D",6.72643464684631,"#B2C364",5.63451733775537,"#E1CD61"
"GUAIANASES",31,NA,"#636466",1.15882818484638,"#D86145",6.70994362495286,"#B3C364",7.11015957196,"#A2BF66",5.33275149192423,"#EECF60",NA,"#636466"
"IGUATEMI",33,NA,"#636466",0,"#CE3F3E",5.28129182097723,"#F0D05F",0,"#CE3F3E",2.16338914759964,"#E27F4C",NA,"#636466"
"IPIRANGA",34,6.94201235406246,"#A9C165",3.79363407608846,"#F1AF57",6.7357918787053,"#B2C364",8.00130317289,"#7BB769",8.81095409157286,"#59AF6B",7.30995871828775,"#99BD66"
"ITAIM BIBI",35,8.48491246246258,"#67B26A",2.43991933012706,"#E4874E",7.11260916680104,"#A2BF66",9.10511390061,"#4CAD6C",9.82790316862762,"#2DA66F",8.1773432545343,"#74B569"
"ITAIM PAULISTA",36,1.0476878612465,"#D75E44",1.30710034204955,"#DA6546",5.75075042268054,"#DCCC61",6.02348562391,"#D1C962",7.4431734782995,"#93BC67",4.28376893414201,"#F6BD5A"
"ITAQUERA",37,8.65125240845165,"#60B16B",2.24663776634996,"#E3814C",7.4250059810027,"#94BC67",7.19370723784,"#9EBE66",7.09792956051466,"#A2BF66",7.1236552102324,"#A1BF66"
"JABAQUARA",38,8.83210719916036,"#58AF6C",2.29694494126583,"#E3824D",6.17423877031957,"#CAC862",6.58896572139,"#B8C464",6.87828427384371,"#ACC165",6.91014709466529,"#AAC165"
"JACANA",39,5.34682080923607,"#EECF60",0.0000230506880769814,"#CE3F3E",6.37279232395164,"#C1C663",5.79827401888,"#DACB61",6.74532453681309,"#B1C264",5.38305838129635,"#ECCF60"
"JAGUARA",40,NA,"#636466",0.322544888207173,"#D14840",5.80908472721309,"#DACB61",6.23068328868,"#C8C763",8.02244003881883,"#7BB769",NA,"#636466"
"JAGUARE",41,7.96889260722877,"#7DB769",2.7982660920196,"#E89150",5.58219125833299,"#E3CD60",5.97018229121,"#D3CA62",7.65223876548475,"#8ABA68",6.80155930663368,"#AFC265"
"JARAGUA",42,5.42668086400626,"#EACF60",1.37473375325625,"#DA6747",4.81304637543368,"#FBCD5D",5.19303283018,"#F4D15F",2.01220049152082,"#E07A4B",3.7441618917168,"#F1AD56"
"JARDIM ANGELA",43,5.0862672972485,"#F9D25F",0.0000300732966321525,"#CE3F3E",5.0889542378454,"#F9D25F",5.19861771055,"#F4D15F",4.92155003964818,"#FCD05E",4.47900600359801,"#F8C35B"
"JARDIM HELENA",44,5.65141297364847,"#E1CD61",2.87028384709609,"#E89350",4.53066331927185,"#F8C55B",6.23122084636,"#C8C763",9.9520836750128,"#28A56F",6.7158508843013,"#B3C364"
"JARDIM PAULISTA",45,7.08965497199735,"#A3BF66",3.79690612843122,"#F1AF57",8.01344260248862,"#7BB769",9.58589292563,"#37A86E",8.77055171113081,"#5AB06B",7.66409574510381,"#8ABA68"
"JARDIM SAO LUIS",46,7.78205951614723,"#85B968",0.936051877034331,"#D65A44",6.46592887020227,"#BDC563",5.87355040452,"#D7CA61",6.56648471487894,"#B9C464",6.25790709387057,"#C6C763"
"JOSE BONIFACIO",47,NA,"#636466",1.07982958344903,"#D85E45",6.52528020710053,"#BBC464",6.18768035106,"#C9C863",5.2634710061355,"#F1D05F",NA,"#636466"
